"userID","qnNum","qnRT","soundFocus","volume","volumePer","playNum","rateTime","valRating","arouRating","averRatingDef","arouRatingDef"
"H9Z0EC82",22,6757,"Piano Melody
(IADS-E; Yang et al., 2018)",10,0.5,1,2,63,23,50,50
"H9Z0EC82",23,8962,"Scream
(IADS-E; Yang et al., 2018)",10,0.5,1,2,8,89,41,37
"H9Z0EC82",24,11992,"Sea Wave
(IADS-E; Yang et al., 2018)",10,0.5,2,2,56,56,59,61
"H9Z0EC82",26,6339,"Pink Noise",10,0.5,1,1,47,59,40,65
"H9Z0EC82",27,5990,"Metal Screech
(Zald and Pardo, 2002)",100,1,1,2,17,80,35,49
"H9Z0EC82",28,11063,"800 Hz",10,0.5,2,2,37,60,39,48
"H9Z0EC82",29,14209,"Cicada
(IADS-E; Yang et al., 2018)",100,1,4,1,65,72,60,45
"H9Z0EC82",30,8425,"Dentist Drill
(Freesound)",10,0.5,2,1,44,64,54,58
"H9Z0EC82",31,11938,"White Noise
(Bacigalupo & Luck, 2018)",10,0.5,3,2,45,63,50,46
"H9Z0EC82",32,8622,"Brownian Noise",100,1,1,2,46,59,43,60
"H9Z0EC82",33,8305,"Cicada
(IADS-E; Yang et al., 2018)",10,0.5,1,1,60,72,46,51
"H9Z0EC82",36,10653,"800 Hz",100,1,1,2,45,58,37,65
"H9Z0EC82",37,7652,"White Noise
(Bacigalupo & Luck, 2018)",100,1,1,2,26,69,56,47
"H9Z0EC82",38,9391,"High Frequencies
(Zald and Pardo, 2002)",10,0.5,1,1,37,60,48,37
"H9Z0EC82",39,6305,"High Frequencies
(Zald and Pardo, 2002)",10,0.5,1,2,38,62,44,58
"H9Z0EC82",40,10713,"Scream
(Morriss et al., 2015; 2016; 2020)",100,1,3,2,8,89,44,38
"H9Z0EC82",41,8457,"Scream
(IADS-E; Yang et al., 2018)",100,1,1,1,5,97,63,35
"H9Z0EC82",42,10503,"Pink Noise",10,0.5,2,2,50,56,51,39
"H9Z0EC82",43,7668,"Piano Melody
(IADS-E; Yang et al., 2018)",100,1,1,1,66,29,44,63
"H9Z0EC82",45,7347,"Pink Noise",100,1,1,2,30,69,41,36
"H9Z0EC82",46,5593,"Scream
(IADS-E; Yang et al., 2018)",100,1,1,2,8,88,39,61
"H9Z0EC82",47,6011,"Metal Screech
(Zald and Pardo, 2002)",10,0.5,1,2,28,66,56,52
"H9Z0EC82",48,6013,"Scream
(Morriss et al., 2015; 2016; 2020)",10,0.5,1,1,9,85,39,48
"H9Z0EC82",49,7376,"Scream
(Morriss et al., 2015; 2016; 2020)",10,0.5,1,2,12,87,62,48
"H9Z0EC82",52,5624,"Dentist Drill
(Freesound)",10,0.5,1,2,43,62,59,54
"H9Z0EC82",53,6006,"5,000 Hz",10,0.5,1,1,36,69,51,58
"H9Z0EC82",54,6471,"Cicada
(IADS-E; Yang et al., 2018)",100,1,1,2,60,70,43,40
"H9Z0EC82",55,6610,"Sea Wave
(IADS-E; Yang et al., 2018)",100,1,1,2,72,69,64,40
"H9Z0EC82",57,10772,"5,000 Hz",10,0.5,1,2,24,70,51,48
"H9Z0EC82",58,6893,"Dentist Drill
(Freesound)",100,1,1,2,26,74,44,48
"H9Z0EC82",59,7138,"Piano Melody
(IADS-E; Yang et al., 2018)",100,1,1,2,76,27,63,40
